Plant,Market,Cost
P001,M002,24.88
P001,M003,8.49
P001,M005,24.36
P001,M006,14.11
P001,M007,6.13
P001,M008,41.02
P001,M009,14.19
P001,M010,39.7
P001,M011,19.55
P001,M012,39.84
P001,M014,32.54
P001,M015,23.42
P001,M016,5.0
P001,M017,38.06
P001,M019,32.37
P001,M021,22.2
P001,M022,23.89
P001,M023,27.24
P001,M024,9.98
P001,M025,31.790000000000003
P001,M026,4.98
P001,M027,18.59
P001,M028,21.81
P001,M030,25.21
P001,M031,31.51
P001,M032,35.19
P001,M033,5.26
P001,M034,21.6
P001,M035,15.7
P001,M036,18.67
P001,M037,10.31
P001,M038,12.06
P001,M039,10.33
P001,M040,21.02
P001,M041,39.48
P001,M042,6.63
P001,M043,34.21
P001,M044,35.01
P001,M045,9.29
P001,M046,33.17
P001,M047,4.89
P001,M048,3.89
P001,M050,31.33
P001,M051,28.61
P001,M052,36.81
P001,M053,10.85
P001,M054,31.08
P001,M055,36.93
P001,M056,42.25
P001,M057,32.11
P001,M058,25.97
P001,M059,13.2
P001,M060,33.22
P001,M061,6.69
P001,M062,4.23
P001,M064,31.06
P001,M065,37.03
P001,M066,4.52
P001,M067,10.16
P001,M068,34.39
P001,M069,5.53
P001,M070,22.73
P001,M071,6.81
P001,M072,13.56
P001,M073,21.97
P001,M074,12.45
P001,M076,22.28
P001,M077,18.06
P001,M078,32.36
P001,M079,28.16
P001,M081,31.14
P001,M082,22.88
P001,M083,20.67
P001,M084,7.62
P001,M085,17.72
P001,M086,28.79
P001,M087,32.74
P001,M088,26.2
P001,M089,24.58
P001,M090,5.53
P001,M091,6.09
P001,M092,38.36
P001,M093,30.52
P001,M094,11.28
P001,M095,17.44
P001,M098,16.58
P001,M100,4.92
P002,M001,27.38
P002,M003,12.05
P002,M005,9.66
P002,M006,4.42
P002,M007,24.88
P002,M008,22.42
P002,M010,9.84
P002,M011,30.8
P002,M013,40.99
P002,M014,3.39
P002,M015,8.34
P002,M016,16.6
P002,M017,19.57
P002,M018,30.54
P002,M019,31.49
P002,M020,33.7
P002,M022,29.37
P002,M023,37.12
P002,M025,13.76
P002,M026,24.52
P002,M028,22.52
P002,M029,15.89
P002,M030,37.56
P002,M031,26.920000000000005
P002,M032,23.48
P002,M033,10.99
P002,M034,14.59
P002,M035,32.59
P002,M036,8.04
P002,M037,24.61
P002,M038,4.15
P002,M039,16.86
P002,M040,9.11
P002,M041,14.0
P002,M042,6.739999999999999
P002,M043,34.87
P002,M044,26.78
P002,M045,36.43
P002,M046,39.84
P002,M047,14.96
P002,M048,17.16
P002,M049,39.62
P002,M050,31.26
P002,M051,17.57
P002,M052,40.01
P002,M053,40.58
P002,M054,20.63
P002,M055,16.14
P002,M056,26.34
P002,M057,3.93
P002,M058,4.87
P002,M059,9.05
P002,M060,30.85
P002,M061,39.0
P002,M062,9.94
P002,M063,5.04
P002,M064,39.03
P002,M065,36.99
P002,M066,29.75
P002,M067,18.89
P002,M069,25.47
P002,M070,10.76
P002,M071,8.86
P002,M072,42.33
P002,M073,29.32
P002,M075,40.61
P002,M076,29.15
P002,M077,28.66
P002,M078,25.32
P002,M079,39.88
P002,M080,38.9
P002,M081,25.42
P002,M082,26.07
P002,M083,21.78
P002,M085,20.71
P002,M086,38.46
P002,M087,6.78
P002,M088,37.46
P002,M089,10.46
P002,M090,32.9
P002,M091,31.18
P002,M092,6.86
P002,M094,22.53
P002,M095,21.67
P002,M096,20.72
P002,M097,5.34
P002,M098,15.43
P002,M099,8.48
P002,M100,4.24
P003,M001,10.27
P003,M003,9.89
P003,M004,16.41
P003,M007,17.5
P003,M008,34.5
P003,M009,20.34
P003,M011,36.27
P003,M013,39.34
P003,M014,41.5
P003,M015,23.68
P003,M017,23.73
P003,M018,37.63
P003,M019,25.92
P003,M021,11.51
P003,M022,31.59
P003,M024,30.8
P003,M025,23.36
P003,M026,15.19
P003,M027,32.07
P003,M028,32.16
P003,M029,33.21
P003,M030,34.62
P003,M031,11.24
P003,M032,41.05
P003,M033,30.37
P003,M034,33.08
P003,M035,26.91
P003,M036,21.429999999999996
P003,M037,5.0
P003,M038,7.7
P003,M039,21.49
P003,M042,12.93
P003,M043,24.15
P003,M044,25.7
P003,M045,36.56
P003,M046,6.47
P003,M047,19.45
P003,M049,2.94
P003,M050,39.03
P003,M051,14.32
P003,M052,29.02
P003,M053,36.3
P003,M054,24.97
P003,M055,16.63
P003,M056,33.12
P003,M057,24.75
P003,M058,35.26
P003,M059,30.540000000000003
P003,M062,17.81
P003,M063,6.8
P003,M064,39.57
P003,M065,28.15
P003,M066,9.83
P003,M067,24.52
P003,M068,34.75
P003,M069,28.65
P003,M070,20.6
P003,M071,24.52
P003,M072,31.05
P003,M073,35.26
P003,M074,4.2
