MarketID,WeekStart,Product,DemandUnits,SellingPricePerUnit
M074,2025-02-24,SKU_B,379,63.84
M026,2025-04-21,SKU_A,505,54.54
M067,2025-02-24,SKU_C,411,43.01
M026,2025-01-20,SKU_E,429,56.48
M011,2025-05-19,SKU_E,200,75.43
M048,2025-04-14,SKU_A,458,41.46
M005,2025-02-17,SKU_D,422,46.3
M068,2025-03-17,SKU_B,163,40.94
M028,2025-04-14,SKU_D,581,41.38
M052,2025-04-07,SKU_C,275,62.06
M028,2025-04-21,SKU_D,402,43.15
M066,2025-03-10,SKU_D,319,71.67
M084,2025-01-27,SKU_B,556,46.8
M038,2025-01-06,SKU_A,183,61.35
M070,2025-03-10,SKU_E,161,57.03
M028,2025-02-10,SKU_C,479,40.72
M054,2025-01-27,SKU_A,252,58.5
M070,2025-01-27,SKU_B,235,56.4
M051,2025-02-17,SKU_E,584,61.11
M042,2025-03-10,SKU_C,468,70.24
M082,2025-04-14,SKU_A,574,82.33
M037,2025-03-03,SKU_C,406,68.07
M050,2025-05-05,SKU_D,666,77.84
M003,2025-03-24,SKU_A,451,63.99
M075,2025-05-12,SKU_B,204,42.82
M096,2025-03-03,SKU_B,391,62.43
M053,2025-01-13,SKU_D,519,49.8
M038,2025-04-28,SKU_A,238,58.21
M096,2025-01-27,SKU_D,505,62.4
M077,2025-02-03,SKU_C,532,58.72
M014,2025-04-21,SKU_A,265,67.24
M063,2025-04-07,SKU_A,296,42.84
M001,2025-02-17,SKU_B,590,63.54
M037,2025-03-31,SKU_E,329,70.4
M016,2025-05-05,SKU_D,200,50.26
M034,2025-01-20,SKU_A,609,39.26
M028,2025-04-21,SKU_D,402,43.15
M034,2025-05-12,SKU_B,662,43.48
M068,2025-05-12,SKU_C,256,39.87
M097,2025-01-27,SKU_C,387,67.45
M010,2025-01-27,SKU_D,372,51.59
M049,2025-03-24,SKU_B,536,77.49
M037,2025-03-24,SKU_C,328,67.96
M100,2025-01-20,SKU_D,220,80.98
M060,2025-05-12,SKU_D,433,62.11
M004,2025-04-07,SKU_B,318,48.29
M059,2025-04-28,SKU_E,317,54.74
M046,2025-04-14,SKU_A,665,73.27
M025,2025-05-12,SKU_E,165,50.72
M032,2025-03-24,SKU_A,450,46.83
M001,2025-05-19,SKU_B,568,62.1
M057,2025-04-21,SKU_A,189,73.03
