PlantID,WeekStart,Product,CapacityUnits,ProductionCostPerUnit
P003,2025-02-24,SKU_A,3345,18.48
P052,2025-05-12,SKU_C,1800,27.06
P010,2025-01-13,SKU_A,3395,20.63
P079,2025-01-20,SKU_D,2200,27.27
P029,2025-05-19,SKU_A,2404,22.29
P051,2025-03-24,SKU_B,2893,14.29
P002,2025-03-03,SKU_E,3322,27.92
P043,2025-02-10,SKU_A,2215,21.8
P078,2025-03-17,SKU_B,1356,30.4
P035,2025-03-31,SKU_C,2621,22.06
P094,2025-05-12,SKU_E,1661,24.13
P054,2025-05-19,SKU_B,1688,28.72
P054,2025-04-14,SKU_E,1945,28.03
P030,2025-03-31,SKU_C,2029,29.66
P026,2025-01-27,SKU_B,2211,16.48
P085,2025-03-03,SKU_E,1470,30.55
P036,2025-03-31,SKU_C,2831,22.32
P048,2025-03-31,SKU_E,2431,26.77
P081,2025-05-12,SKU_D,1692,27.22
P066,2025-03-03,SKU_C,1311,14.75
P006,2025-03-31,SKU_C,3024,26.67
P082,2025-03-17,SKU_B,2480,19.27
P031,2025-03-10,SKU_E,1712,21.24
P008,2025-03-17,SKU_D,1510,17.59
P098,2025-01-27,SKU_E,1976,17.92
P019,2025-05-05,SKU_D,1900,16.94
P012,2025-01-20,SKU_A,2806,14.83
P063,2025-05-05,SKU_A,2665,27.66
P062,2025-02-03,SKU_B,1664,25.54
P011,2025-02-17,SKU_B,2182,16.93
P045,2025-01-27,SKU_A,2926,17.2
P029,2025-04-21,SKU_C,2365,22.06
P037,2025-01-13,SKU_B,2265,20.86
P096,2025-02-10,SKU_E,1387,23.8
P026,2025-03-31,SKU_B,2310,19.15
P090,2025-02-03,SKU_A,1504,23.15
P068,2025-04-14,SKU_B,2888,18.32
P005,2025-02-17,SKU_B,2069,22.34
P041,2025-04-14,SKU_E,1958,19.05
P006,2025-03-03,SKU_C,2138,24.24
P093,2025-05-05,SKU_C,3051,23.84
P015,2025-04-21,SKU_D,1492,20.64
P014,2025-02-24,SKU_C,2143,22.6
P072,2025-01-13,SKU_D,3336,16.71
P087,2025-05-05,SKU_E,2652,22.49
P017,2025-01-20,SKU_C,2223,18.78
P031,2025-05-19,SKU_D,1406,22.89
P019,2025-03-03,SKU_E,1851,20.45
P096,2025-03-17,SKU_C,1277,22.84
P027,2025-04-07,SKU_E,1758,26.35
P001,2025-01-27,SKU_A,2574,25.0
P023,2025-03-03,SKU_E,3258,28.39
P080,2025-01-13,SKU_B,2310,21.06
P014,2025-01-13,SKU_B,2472,23.37
P099,2025-02-17,SKU_C,2436,21.09
P011,2025-03-10,SKU_B,2221,16.69
P031,2025-03-10,SKU_C,1676,23.54
P012,2025-03-17,SKU_A,2920,17.54
P095,2025-05-19,SKU_A,1940,20.94
P035,2025-02-10,SKU_D,2833,20.68
P002,2025-03-24,SKU_A,3338,29.26
P045,2025-01-13,SKU_E,2229,15.25
P007,2025-03-10,SKU_D,2453,23.03
P096,2025-01-06,SKU_E,1721,23.44
P076,2025-05-05,SKU_B,1897,18.64
P017,2025-04-21,SKU_E,1914,20.54
P073,2025-03-24,SKU_A,2768,18.9
P080,2025-03-31,SKU_B,2584,20.83
P041,2025-02-24,SKU_E,1828,17.6
P003,2025-03-03,SKU_D,2676,18.14
P014,2025-04-14,SKU_C,2078,21.51
P013,2025-01-20,SKU_E,2952,19.87
P075,2025-04-14,SKU_A,1915,15.22
P051,2025-02-03,SKU_E,2576,13.64
P059,2025-03-10,SKU_D,2196,27.82
P053,2025-04-14,SKU_B,2455,30.03
P048,2025-05-12,SKU_B,2664,25.73
P096,2025-02-24,SKU_C,1588,20.39
P100,2025-05-05,SKU_C,2033,24.97
P030,2025-03-03,SKU_E,1897,28.21
P054,2025-04-14,SKU_D,1801,29.47
P005,2025-03-31,SKU_B,2583,23.7
P018,2025-05-19,SKU_D,2119,25.29
P046,2025-04-07,SKU_A,3459,22.35
P015,2025-04-21,SKU_D,1492,20.64
P041,2025-03-24,SKU_E,1535,17.46
P008,2025-01-27,SKU_A,2102,14.56
P065,2025-01-13,SKU_C,2470,26.51
P063,2025-02-03,SKU_B,2419,27.13
P028,2025-03-31,SKU_A,1519,21.15
P052,2025-05-19,SKU_A,1597,25.69
P076,2025-01-06,SKU_A,2219,19.08
P011,2025-04-07,SKU_C,1806,16.9
P078,2025-01-20,SKU_A,1710,30.71
P098,2025-03-31,SKU_E,2323,18.41
P100,2025-05-12,SKU_B,1555,23.29
P039,2025-05-05,SKU_A,1845,16.83
P068,2025-01-20,SKU_D,2309,16.5
P077,2025-04-21,SKU_B,2088,23.21
P001,2025-05-19,SKU_B,2299,26.06
P003,2025-04-07,SKU_E,3159,17.65
P065,2025-02-03,SKU_D,2274,28.69
P009,2025-05-05,SKU_E,2278,16.01
P002,2025-03-17,SKU_C,3290,27.56
P100,2025-02-17,SKU_A,1594,25.5
P033,2025-01-20,SKU_C,2622,24.72
P088,2025-05-19,SKU_D,3372,19.89
P078,2025-03-03,SKU_A,1643,29.24
P005,2025-05-05,SKU_E,2218,20.75
P002,2025-03-17,SKU_C,3290,27.56
P035,2025-01-20,SKU_A,2131,18.85
P050,2025-04-21,SKU_E,1720,28.66
P022,2025-04-21,SKU_D,2058,28.18
P100,2025-03-10,SKU_D,1835,23.53
P079,2025-03-31,SKU_C,2683,26.94
P060,2025-04-28,SKU_E,2770,15.83
P026,2025-01-27,SKU_D,2341,18.89
P033,2025-04-14,SKU_A,2379,25.91
P086,2025-01-27,SKU_E,2288,18.91
P072,2025-04-28,SKU_D,3166,16.06
P001,2025-02-03,SKU_A,2975,25.64
P068,2025-04-14,SKU_E,2462,15.49
P020,2025-04-07,SKU_D,2065,29.25
P065,2025-02-03,SKU_C,1926,26.48
P067,2025-02-10,SKU_E,1851,20.88
P040,2025-04-28,SKU_B,2241,20.76
P021,2025-02-17,SKU_D,2084,17.54
P007,2025-01-13,SKU_E,3035,20.69
P059,2025-01-20,SKU_D,1745,30.84
P019,2025-04-21,SKU_B,1997,19.6
P031,2025-04-28,SKU_C,1595,22.53
P073,2025-03-31,SKU_E,3172,18.1
P002,2025-04-28,SKU_D,2473,26.55
P065,2025-03-31,SKU_B,1983,26.48
P037,2025-03-03,SKU_A,2064,19.64
P079,2025-05-19,SKU_C,3123,28.16
P086,2025-05-19,SKU_C,3110,17.65
P034,2025-01-06,SKU_D,2321,16.35
P073,2025-03-31,SKU_E,3172,18.1
P006,2025-01-13,SKU_A,2853,23.47
P082,2025-03-10,SKU_C,2905,19.29
P052,2025-03-10,SKU_A,1409,24.67
P057,2025-01-27,SKU_C,2572,20.35
P051,2025-01-13,SKU_B,2849,14.45
P022,2025-05-05,SKU_E,2322,28.52
P078,2025-05-19,SKU_B,1569,30.38
P091,2025-01-06,SKU_D,2466,20.59
P038,2025-01-27,SKU_D,1748,19.1
P018,2025-03-03,SKU_B,3151,25.07
P007,2025-05-19,SKU_B,2793,21.67
P020,2025-04-21,SKU_E,1905,28.36
P057,2025-03-24,SKU_B,3235,18.79
P087,2025-03-03,SKU_C,3110,22.0
P075,2025-05-12,SKU_D,1753,14.32
P025,2025-04-07,SKU_D,1729,27.34
P009,2025-04-07,SKU_E,2925,16.65
P029,2025-01-13,SKU_D,2689,25.05
P062,2025-04-07,SKU_A,1738,26.2
P023,2025-04-07,SKU_C,2652,27.77
P028,2025-02-24,SKU_C,1830,23.31
P055,2025-02-03,SKU_D,1644,23.37
P015,2025-05-05,SKU_A,1912,18.45
P056,2025-04-28,SKU_C,3086,19.08
P057,2025-04-21,SKU_C,2578,18.71
P048,2025-03-17,SKU_C,2734,23.61
P054,2025-03-17,SKU_E,1894,30.46
P046,2025-03-10,SKU_C,2399,23.93
P091,2025-04-21,SKU_B,2581,21.13
P046,2025-01-13,SKU_E,2897,24.49
P009,2025-03-03,SKU_D,2886,19.6
P056,2025-05-05,SKU_D,2291,18.34
P052,2025-04-07,SKU_D,1884,24.52
P075,2025-03-24,SKU_B,2044,17.17
P085,2025-03-10,SKU_A,1778,27.31
P007,2025-04-07,SKU_D,3133,19.93
P014,2025-01-20,SKU_B,2188,23.33
P011,2025-03-17,SKU_C,2555,18.49
P075,2025-05-19,SKU_D,1734,14.69
P002,2025-01-13,SKU_E,2464,27.95
P058,2025-02-17,SKU_B,2732,19.99
P058,2025-01-27,SKU_B,3363,19.31
P006,2025-05-12,SKU_B,2150,23.0
P074,2025-02-24,SKU_C,2646,19.69
P009,2025-02-17,SKU_C,2474,19.68
P078,2025-05-05,SKU_D,1304,28.8
P054,2025-02-17,SKU_B,1912,29.02
P094,2025-02-10,SKU_E,1299,22.7
P070,2025-02-17,SKU_C,2449,21.37
P021,2025-05-12,SKU_C,1935,16.57
P095,2025-05-05,SKU_C,2104,20.24
P017,2025-05-12,SKU_E,1973,20.93
P087,2025-04-07,SKU_C,3003,22.4
P080,2025-03-24,SKU_A,2276,22.78
P054,2025-04-14,SKU_B,2079,30.07
P086,2025-04-28,SKU_D,3361,17.78
P015,2025-03-24,SKU_A,1446,20.95
P009,2025-04-21,SKU_D,3289,16.39
P039,2025-02-10,SKU_C,1529,14.18
P042,2025-05-19,SKU_B,2855,29.05
P061,2025-02-24,SKU_A,2835,16.78
P025,2025-05-19,SKU_E,2291,30.38
P058,2025-02-10,SKU_B,2468,21.88
P074,2025-05-19,SKU_E,3211,18.91
P094,2025-01-06,SKU_D,1703,24.31
P019,2025-02-17,SKU_E,2302,19.09
P100,2025-03-17,SKU_E,1826,25.5
P070,2025-04-21,SKU_B,2943,19.12
P036,2025-04-14,SKU_C,2460,22.43
P064,2025-03-17,SKU_A,2385,17.64
P084,2025-02-24,SKU_C,2195,26.83
P012,2025-05-12,SKU_B,2420,15.93
P012,2025-05-05,SKU_C,2902,16.07
P046,2025-03-31,SKU_B,2852,24.36
P058,2025-05-05,SKU_D,2305,19.86
P058,2025-04-28,SKU_C,2976,22.16
P067,2025-01-06,SKU_C,1426,21.81
P096,2025-03-03,SKU_C,1796,20.09
