PlantID,MarketID,Product,DistanceKm,TransportCostPerUnit
P012,M099,SKU_E,412,11.02
P004,M038,SKU_D,999,20.95
P024,M003,SKU_D,1429,30.16
P097,M012,SKU_B,304,8.2
P052,M009,SKU_E,948,21.05
P079,M034,SKU_D,1974,42.21
P051,M074,SKU_A,1139,23.44
P023,M053,SKU_B,707,15.51
P039,M019,SKU_B,162,4.33
P061,M083,SKU_A,1420,30.22
P088,M077,SKU_D,1715,37.03
P048,M010,SKU_A,476,10.43
P080,M066,SKU_E,347,7.76
P003,M090,SKU_C,816,17.13
P014,M009,SKU_C,629,14.89
P040,M093,SKU_A,1427,29.75
P008,M023,SKU_A,1401,29.84
P069,M054,SKU_B,1483,32.44
P006,M043,SKU_A,1774,37.55
P051,M083,SKU_A,1282,27.59
P017,M026,SKU_C,590,13.01
P089,M070,SKU_D,1409,30.25
P026,M086,SKU_E,733,17.18
P009,M004,SKU_E,853,17.85
P002,M072,SKU_D,1700,35.27
P049,M027,SKU_D,753,17.22
P015,M004,SKU_B,1252,27.79
P010,M044,SKU_D,495,12.66
P061,M062,SKU_A,606,13.54
P014,M012,SKU_C,220,7.1
P086,M021,SKU_C,1513,31.01
P064,M080,SKU_B,741,16.65
P096,M023,SKU_B,1946,40.52
P076,M039,SKU_E,1953,41.18
P022,M052,SKU_E,791,16.33
P064,M048,SKU_B,741,16.17
P023,M088,SKU_A,513,13.17
P016,M043,SKU_D,1083,22.75
P046,M082,SKU_C,681,15.09
P093,M084,SKU_A,1028,21.67
P042,M032,SKU_B,1452,31.02
P015,M038,SKU_D,726,16.79
P031,M040,SKU_D,1893,38.94
P012,M006,SKU_A,1444,31.72
P067,M031,SKU_B,383,9.64
P017,M012,SKU_A,1810,38.2
P045,M015,SKU_A,1836,39.48
P035,M082,SKU_D,1427,29.13
P018,M080,SKU_B,1916,39.63
P017,M094,SKU_B,1874,38.47
P036,M057,SKU_A,1904,39.39
P029,M055,SKU_B,1880,39.67
P033,M008,SKU_C,111,4.79
P071,M001,SKU_A,1102,23.45
P062,M030,SKU_D,1267,27.52
P086,M050,SKU_E,1873,39.1
P033,M010,SKU_B,1544,33.15
P067,M063,SKU_D,775,17.66
P005,M033,SKU_B,399,9.37
P023,M054,SKU_A,696,16.37
P017,M005,SKU_B,853,19.5
P091,M035,SKU_D,462,10.43
P092,M089,SKU_D,1819,38.45
P062,M034,SKU_B,143,4.0
P033,M022,SKU_C,1478,32.37
P082,M066,SKU_D,709,15.46
P039,M086,SKU_D,1342,27.72
P006,M056,SKU_E,1795,38.06
P047,M008,SKU_E,186,6.45
P088,M085,SKU_A,1158,25.78
P076,M075,SKU_E,1326,28.13
P087,M057,SKU_C,594,13.67
P082,M056,SKU_E,1233,27.12
P070,M100,SKU_E,1061,23.69
P084,M065,SKU_E,1855,39.71
P015,M079,SKU_B,1849,38.35
P042,M025,SKU_B,766,16.48
P036,M065,SKU_C,1580,34.56
P073,M081,SKU_A,1011,21.21
P029,M054,SKU_E,409,9.06
P063,M006,SKU_D,1074,22.07
P088,M002,SKU_A,1983,41.44
P059,M037,SKU_A,1824,37.98
P035,M028,SKU_D,1950,41.49
P070,M064,SKU_D,1170,24.73
P077,M009,SKU_E,203,6.74
P046,M013,SKU_E,615,13.76
P100,M068,SKU_B,122,5.19
P095,M057,SKU_A,1694,36.73
P062,M005,SKU_D,686,14.99
P017,M075,SKU_E,1457,31.56
P004,M005,SKU_A,555,12.2
P034,M074,SKU_D,1018,21.58
P057,M051,SKU_B,428,9.69
P026,M014,SKU_A,1653,35.8
P043,M022,SKU_A,743,15.47
P037,M047,SKU_C,280,7.55
P082,M011,SKU_C,899,18.59
P017,M098,SKU_C,217,5.44
P013,M086,SKU_E,467,10.86
P004,M043,SKU_C,324,7.31
P052,M022,SKU_E,171,4.1
P048,M018,SKU_A,426,11.41
P020,M043,SKU_B,696,15.53
P005,M099,SKU_C,219,7.31
P056,M092,SKU_E,480,12.52
P075,M027,SKU_B,1499,31.76
P007,M057,SKU_E,392,8.64
P088,M083,SKU_E,218,6.96
P075,M047,SKU_C,1284,27.71
P086,M041,SKU_E,889,20.07
P087,M017,SKU_E,1181,25.83
P010,M087,SKU_C,807,18.8
P040,M052,SKU_B,1177,25.04
P054,M034,SKU_D,372,8.16
P003,M004,SKU_E,744,16.15
P097,M004,SKU_B,1642,34.39
P057,M066,SKU_C,465,10.47
P085,M033,SKU_C,428,9.6
P013,M017,SKU_B,1188,24.69
P054,M032,SKU_E,1706,35.73
P048,M046,SKU_A,941,20.65
P050,M064,SKU_D,297,7.97
P058,M045,SKU_E,1578,34.05
P073,M020,SKU_C,1193,25.76
P053,M078,SKU_B,439,11.56
P033,M064,SKU_E,875,18.8
P080,M088,SKU_D,351,7.55
P049,M056,SKU_E,318,8.08
P083,M089,SKU_D,1118,24.34
P019,M073,SKU_E,919,20.56
P050,M006,SKU_E,853,18.89
P015,M039,SKU_A,1396,30.35
P035,M078,SKU_C,1113,23.52
P018,M068,SKU_E,756,17.8
P028,M059,SKU_D,757,17.36
P011,M008,SKU_A,655,14.01
P014,M038,SKU_D,1562,34.05
P020,M065,SKU_A,1238,26.81
P047,M072,SKU_B,573,11.99
P094,M099,SKU_C,385,8.85
P010,M079,SKU_B,1393,29.59
P063,M006,SKU_E,882,18.73
P001,M073,SKU_D,1095,24.79
P047,M010,SKU_D,432,9.87
P010,M077,SKU_E,966,21.97
P092,M067,SKU_C,1814,38.53
P012,M057,SKU_E,378,8.09
P027,M053,SKU_C,687,15.07
P016,M052,SKU_B,764,17.38
P038,M007,SKU_C,307,9.03
P082,M069,SKU_B,1644,34.56
P051,M054,SKU_B,222,6.12
P037,M099,SKU_C,1542,32.09
P099,M058,SKU_A,392,10.3
P030,M010,SKU_D,1557,33.9
P026,M059,SKU_B,1720,36.7
P034,M075,SKU_D,924,21.45
P086,M021,SKU_C,1513,31.01
P032,M040,SKU_C,292,6.4
P064,M051,SKU_D,126,5.24
P081,M016,SKU_C,573,12.23
P069,M061,SKU_C,883,20.47
P058,M044,SKU_B,1414,29.1
P077,M095,SKU_B,1768,36.72
P035,M049,SKU_E,1619,33.02
P028,M021,SKU_E,1452,30.12
P049,M099,SKU_A,1414,29.31
P071,M004,SKU_B,1104,24.31
P032,M002,SKU_D,362,8.53
P052,M033,SKU_C,1066,23.62
P046,M041,SKU_A,1080,24.44
P074,M003,SKU_A,1856,38.86
P018,M070,SKU_E,950,20.17
P100,M005,SKU_E,877,19.66
P025,M065,SKU_A,132,4.97
P045,M040,SKU_C,1070,22.48
P022,M059,SKU_B,1743,37.25
P001,M007,SKU_C,450,11.64
P098,M020,SKU_E,982,22.28
P081,M064,SKU_B,1906,40.16
P071,M032,SKU_C,1317,28.6
P056,M092,SKU_A,1654,33.93
P052,M039,SKU_A,776,17.68
P030,M009,SKU_D,1392,28.99
P030,M037,SKU_E,1106,24.44
P053,M076,SKU_E,1009,21.16
P037,M034,SKU_B,691,16.49
P065,M047,SKU_D,504,10.71
P091,M015,SKU_D,1650,34.4
P018,M026,SKU_C,1249,27.03
P013,M032,SKU_C,152,4.81
P043,M018,SKU_C,1638,34.21
P093,M005,SKU_A,152,5.55
P003,M005,SKU_D,1787,36.67
P013,M042,SKU_C,1236,26.08
P048,M070,SKU_E,1001,20.91
P009,M010,SKU_A,711,15.38
P037,M004,SKU_B,1016,22.54
P100,M077,SKU_A,1322,29.35
P027,M075,SKU_C,1719,35.1
P082,M076,SKU_E,1688,35.99
P065,M033,SKU_E,864,18.75
P039,M026,SKU_C,1222,25.43
P005,M057,SKU_C,899,18.82
P061,M079,SKU_C,335,7.61
P049,M056,SKU_C,1048,22.0
P040,M060,SKU_E,157,5.38
P051,M011,SKU_C,1167,24.47
P064,M029,SKU_E,245,6.93
P042,M070,SKU_C,156,5.43
P073,M093,SKU_C,255,6.96
P006,M092,SKU_A,907,19.91
P058,M042,SKU_C,366,9.84
P075,M016,SKU_C,1991,42.4
P013,M073,SKU_E,166,4.61
P031,M031,SKU_D,1678,36.28
P048,M025,SKU_E,1829,37.25
P083,M036,SKU_C,240,6.24
P056,M037,SKU_C,821,18.96
P028,M016,SKU_E,1653,35.99
P085,M098,SKU_D,385,8.85
P081,M082,SKU_E,485,10.39
P031,M008,SKU_A,100,4.92
P076,M053,SKU_E,522,12.55
P041,M011,SKU_D,1904,39.89
P017,M025,SKU_A,213,7.16
P048,M030,SKU_B,378,9.38
P037,M019,SKU_D,1981,40.84
P084,M066,SKU_A,373,10.1
P062,M074,SKU_E,1647,34.99
P019,M076,SKU_D,172,5.67
P045,M054,SKU_B,1793,36.41
P016,M042,SKU_E,1577,32.59
P100,M016,SKU_D,828,18.31
P059,M090,SKU_C,1103,23.25
P057,M077,SKU_C,953,20.37
P085,M064,SKU_B,1574,34.27
P068,M092,SKU_E,165,4.42
P057,M095,SKU_D,1205,26.78
P038,M036,SKU_C,420,10.47
P037,M057,SKU_E,344,8.29
P049,M048,SKU_B,556,12.94
P050,M071,SKU_D,256,7.14
P084,M003,SKU_D,764,17.59
P084,M039,SKU_C,1757,36.29
P003,M012,SKU_D,591,13.24
P067,M085,SKU_D,1325,28.41
P070,M022,SKU_A,797,17.63
P026,M017,SKU_A,584,12.66
P090,M094,SKU_D,1153,23.78
P028,M083,SKU_E,1010,22.87
P030,M081,SKU_A,1955,40.8
P013,M025,SKU_A,678,14.86
P022,M014,SKU_A,864,19.04
P075,M061,SKU_C,1369,29.93
P029,M045,SKU_A,1143,25.35
P021,M054,SKU_B,151,5.4
P014,M017,SKU_A,459,12.05
P061,M087,SKU_E,1806,36.65
P075,M033,SKU_D,1824,39.03
P039,M064,SKU_E,239,6.59
P074,M001,SKU_D,1031,22.71
P059,M022,SKU_B,779,16.42
P013,M093,SKU_E,1946,39.61
P004,M095,SKU_D,1012,22.84
P022,M075,SKU_E,1716,35.14
